 5475668   138.048    0.055   0.055  201.2    2.2    2.3  0.592  0.019  0.019  4.659 0.049 0.033 2455092.04    0.79    0.71 0.459   0.015   0.016   25.62   0.43   0.42  
 5542211   728.7      4.6     4.4    202.7    5.7    5.4  0.196  0.056  0.049  4.03  0.29  0.26  2455422.     34.     33.   0.0168  0.0014  0.0014   5.95   0.15   0.13  
 5545566   177.09     0.69    0.66    44.4    4.0    3.3  0.51   0.15   0.13   4.96  0.33  0.29  2455029.9     7.6     7.1  0.00301 0.00082 0.00067  4.7    0.54   0.46  
 5641605  1185.      16.     13.     274.7    3.5    3.4  0.573  0.0096 0.0090 5.92  0.012 0.011 2455418.     15.     15.   0.01585 0.00070 0.00073  4.143  0.067  0.062 
 5647514  1114.0      9.0     8.9    197.2    2.1    2.1  0.355  0.019  0.018  2.387 0.052 0.049 2455743.     14.     13.   0.00663 0.00023 0.00024  3.607  0.047  0.045 
 5705575   537.66     0.91    0.89   165.2    1.4    1.4  0.0156 0.0160 0.0098 1.03  0.58  0.57  2455376.     49.     49.   0.01676 0.00044 0.00044  6.7    0.038  0.036 
 5709664    95.03     0.044   0.043  117.2    3.0    2.8  0.51   0.03   0.03   0.402 0.049 0.046 2454993.5     0.75    0.76 0.192   0.015   0.014   23.07   0.61   0.61  
 5723310  1268.6      9.5     9.3    274.7    1.9    1.9  0.156  0.015  0.015  0.221 0.110 0.094 2456096.     28.     25.   0.01384 0.00035 0.00035  4.664  0.037  0.035 
 5725312   704.8      4.5     4.5    194.0    4.8    4.8  0.046  0.036  0.028  2.4   1.00  0.64  2455670.    110.     73.   0.0158  0.0012  0.0012   5.996  0.100  0.096 
 5728217   224.77     0.47    0.46   104.0    2.8    2.7  0.15   0.055  0.053  6.18  0.25  0.32  2454974.3     9.4    11.0  0.0239  0.0019  0.0019   9.97   0.22   0.19  
 5733154    62.55     0.13    0.13    28.1    7.0    4.2  0.82   0.11   0.16   1.02  0.31  0.24  2454970.9     2.2     1.9  0.0061  0.0045  0.0028   5.5    1.5    1.9   
 5734003  1228.     190.     97.     281.    34.    24.   0.46   0.17   0.19   2.29  0.28  0.24  2455745.    180.    180.   0.0157  0.0063  0.0063   4.42   0.77   0.63  
 5737687  1068.      16.     18.     375.8    5.9    5.6  0.512  0.021  0.021  1.408 0.055 0.041 2455683.     24.     22.   0.05    0.0029  0.0027   6.59   0.15   0.15  
 5738127   442.6      2.6     2.6    100.4    2.9    2.8  0.098  0.055  0.051  1.65  0.81  0.66  2455361.     59.     46.   0.00554 0.00048 0.00048  4.921  0.110  0.096 
 5768203   183.74     0.11    0.11   183.5    2.7    2.6  0.627  0.021  0.021  1.375 0.031 0.030 2455129.04    0.81    0.79 0.1964  0.0085  0.0083  16.96   0.36   0.36  
 5791786   119.3      0.2     0.2    115.6    6.2    5.8  0.423  0.086  0.089  2.27  0.16  0.21  2454997.4     3.0     3.6  0.116   0.019   0.017   19.1    1.1    1.0   
 5808231  1081.      12.     11.     177.8    2.4    2.4  0.051  0.025  0.022  2.72  0.32  0.32  2455704.     61.     54.   0.00516 0.00023 0.00024  3.581  0.043  0.039 
 5811454  1210.      65.     33.     182.    53.    33.   0.823  0.076  0.099  5.86  0.13  0.31  2456079.     63.     96.   0.0044  0.0039  0.0024   1.86   0.45   0.55  
 5819178   237.63     0.51    0.52    72.0    1.7    1.7  0.06   0.043  0.035  1.1   0.72  0.53  2454960.     27.     20.   0.0071  0.00051 0.00052  6.596  0.110  0.097 
 5857714    79.23     0.17    0.17    21.2    1.6    1.6  0.132  0.120  0.086  5.7   1.7   1.9   2455007.     21.     23.   0.00162 0.00036 0.00036  5.78   0.34   0.26  
 5857714a 1008.6      7.2     6.9     76.5    1.3    1.3  0.14   0.034  0.033  4.52  0.24  0.29  2455234.     40.     47.   0.00047 0.00003 0.00003  1.638  0.025  0.023 
 5879187  2785.     200.    310.     392.    75.    95.   0.081  0.054  0.043  0.459 0.110 0.074 2457495.    280.    260.   0.0084  0.0051  0.0062   3.06   0.67   0.39  
 5880352   176.97     0.28    0.29    42.43   1.10   0.98 0.036  0.035  0.022  1.7   1.7   1.9   2454995.     48.     54.   0.00262 0.00020 0.00018  5.225  0.079  0.079 
 5891975   901.      19.     17.     278.    12.    12.   0.144  0.077  0.079  0.35  0.74  0.70  2455528.    110.     96.   0.0284  0.0038  0.0038   6.66   0.26   0.22  
 5892660  1565.      72.     55.     275.4    7.2    6.2  0.336  0.030  0.028  5.78  0.11  0.13  2456057.     87.     94.   0.00916 0.00097 0.00100  3.61   0.14   0.12  
 5900260   159.8      0.18    0.17   121.6    3.1    3.0  0.39   0.04   0.04   0.549 0.088 0.087 2455027.6     2.3     2.3  0.0756  0.0058  0.0057  15.26   0.40   0.38  
 5964173  1234.      33.     27.      71.5    1.7    1.7  0.114  0.062  0.055  5.86  0.47  0.78  2455969.    110.    170.   0.00026 0.00002 0.00002  1.255  0.034  0.029 
 5988140  4297.     200.    320.     531.    22.    34.   0.736  0.011  0.014  0.355 0.020 0.013 2455645.    270.    260.   0.0087  0.0017  0.0019   1.82   0.11   0.12  
 6041680   673.6      1.6     1.6    159.1    1.6    1.5  0.112  0.018  0.017  4.37  0.20  0.14  2455492.     22.     16.   0.00954 0.00028 0.00028  5.119  0.038  0.037 
 6115466   720.94     0.66    0.63   290.96   0.85   0.88 0.0989 0.0060 0.0059 5.693 0.060 0.044 2455487.8     7.1     5.0  0.05088 0.00045 0.00047  8.756  0.020  0.019 
 6139591  1310.      43.     33.     356.    10.    10.   0.58   0.015  0.018  0.368 0.022 0.023 2455714.     44.     46.   0.0282  0.0028  0.0031   4.82   0.17   0.16  
 6141372  2622.     610.    540.     210.    39.    34.   0.791  0.039  0.042  3.11  0.058 0.058 2456105.    650.    620.   0.00146 0.00100 0.00098  1.07   0.26   0.24  
